Response Id,Age,Gender,Marital Status,Frequency,Theaters1,Theaters,Free.Online1,Free.Online,Netflix1,Netflix,Others,Source Preference,Content Likability Rating,Theatre Viewing Reasons,Action,Comedy,Romance,Thriller,Adeventure,Mystery,Horror,Animation,Viewing Behaviour Change,Netflix Future
84,2,Male,Unmarried,Monthly,YES,1,YES,1,NO,0,0,theaters|free online streaming,90,Cast preferences ,1,1,0,1,0,1,0,0,No,Can't say
85,2,Female,Unmarried,Monthly,YES,1,NO,0,NO,0,0,theaters,52,Cast preferences ,1,1,0,1,1,0,0,0,Can't say,No
86,2,Male,Unmarried,Biweekly,YES,1,NO,0,YES,1,0,Paid subscription like Netflix | theaters,90,Genre preferences,1,0,0,1,0,0,0,0,Yes,Yes
87,2,Male,Unmarried,Weekly ,NO,0,YES,1,NO,0,0,free online streaming,50,Genre preferences,0,0,0,0,0,0,1,0,Can't say,Can't say
88,2,Male,Unmarried,Weekly ,YES,1,YES,1,YES,1,1,Paid subscription like Netflix | theaters | free online streaming | others,32,Genre preferences,1,1,1,1,1,1,1,1,Yes,No
89,2,Male,Unmarried,Monthly,NO,0,YES,1,NO,0,0,free online streaming,42,Genre preferences,1,1,1,1,1,1,0,0,No,Can't say
90,2,Female,Unmarried,Rarely,NO,0,YES,1,NO,0,0,free online streaming,78,Cast preferences ,0,1,1,0,1,0,1,0,Yes,Can't say
91,2,Male,Unmarried,Monthly,YES,1,YES,1,NO,0,0,theaters|free online streaming,80,Cast preferences ,1,1,1,0,0,0,0,0,No,Yes
92,2,Male,Unmarried,Weekly ,NO,0,YES,1,NO,0,0,free online streaming,50,Genre preferences,0,1,0,1,1,0,0,0,Yes,No
93,2,Male,Unmarried,Rarely,YES,1,NO,0,NO,0,0,theaters,51,Genre preferences,1,0,0,1,1,1,0,1,Can't say,Can't say
94,2,Female,Unmarried,Rarely,NO,0,YES,1,NO,0,0,free online streaming,24,Director preferences,0,1,0,0,0,0,0,1,No,No
95,2,Female,Unmarried,Monthly,YES,1,NO,0,NO,0,0,theaters,50,Cast preferences ,0,1,1,1,1,1,0,0,No,No
96,2,Female,Unmarried,Weekly ,YES,1,YES,1,NO,0,0,theaters|free online streaming,69,Genre preferences,0,1,0,1,0,1,1,0,Yes,No
97,2,Male,Unmarried,Monthly,YES,1,YES,1,NO,0,0,theaters|free online streaming,66,Director preferences,1,1,0,1,0,0,0,0,No,No
98,2,Male,Unmarried,Monthly,YES,1,YES,1,NO,0,0,theaters|free online streaming,46,Director preferences,1,1,1,1,1,1,1,1,No,No
99,2,Male,Unmarried,Weekly ,YES,1,NO,0,NO,0,0,theaters,80,Director preferences,0,1,0,1,1,1,0,0,Yes,Can't say
100,2,Female,Unmarried,Rarely,NO,0,YES,1,NO,0,0,free online streaming,50,Director preferences,0,1,1,1,1,0,0,1,Yes,Can't say
